Component,Average_Power_Watts
Wire Wound Resistor,4.828368472128205
Inverter Module,13.196133057661436
OpAmp IC,5.084752503413741
Buck Converter,12.948569909151322
Electrolytic Capacitor,12.913036773191255
Microcontroller IC,5.069055299642224
Boost Converter,13.108895352915406
Metal Film Resistor,4.935427472283817
Trimmer,12.994479821627651
Tantalum Capacitor,13.036547122302135
IC555 Timer,5.0978678176483845
Voltage Regulator IC,5.049395241332415
Carbon Composition Resistor,4.9618568556584695
Thick Film Resistor,4.92911904761905
Potentiometer,13.009203508374831
Rheostat,13.512246510020752
Ceramic Capacitor,12.867212319168164
Thin Film Resistor,4.907831318313629
