component,avg_voltage,std_voltage,avg_current,std_current,avg_temperature,std_temperature
Boost Converter,8.27317365269461,3.895850138415026,1.5209580838323353,0.8152508916307541,61.833413173652694,15.831947979774416
Buck Converter,8.524269662921348,3.7867270090403076,1.5547191011235955,0.8416584246004329,61.41112359550562,16.662664780894357
Carbon Composition Resistor,6.319078947368421,2.057334595079309,0.7951315789473684,0.4058283766742373,59.98677631578947,15.79449785167987
Ceramic Capacitor,10.17553459119497,3.5060850625117514,1.2290566037735848,0.6623584562937472,52.076855345911945,14.623647016865506
Electrolytic Capacitor,10.049595375722543,3.3791885909196826,1.2775722543352601,0.7345477185681059,51.31317919075145,15.294274759379029
IC555 Timer,8.654666666666667,1.9749416580865193,0.5435757575757576,0.22940525307941115,60.70284848484848,19.342257410000208
Inverter Module,8.776689655172415,3.7811263855225765,1.4052413793103449,0.8523302069087985,59.885379310344824,15.336454710404592
Metal Film Resistor,6.654430379746836,1.9802542761743653,0.8057594936708861,0.42795811198052214,59.00025316455696,16.568723891732507
Microcontroller IC,8.399807692307693,1.9675743937745331,0.5968589743589744,0.22831445346468268,61.26128205128205,19.253103234340998
OpAmp IC,8.396350364963503,2.207433589672035,0.5963503649635037,0.23595823381794387,62.78160583941606,19.116217600338594
Potentiometer,8.597337662337662,3.8801241544397,1.576818181818182,0.8808267837294885,60.63,15.231521109006732
Rheostat,8.962810457516339,3.509679933209599,1.6640522875816992,0.8373779863268823,65.44575163398693,14.983907889747412
Tantalum Capacitor,10.074933333333334,3.186733141687754,1.3187333333333333,0.6798877687354457,51.041866666666664,16.085224383639655
Thick Film Resistor,6.554438202247192,1.9712507054195538,0.7437078651685393,0.41845257585881146,54.86337078651685,16.500436559458084
Thin Film Resistor,6.261768707482993,1.964089143932994,0.7386394557823129,0.4324312273388497,57.39272108843537,15.250646990893658
Trimmer,8.385664739884394,3.650373227616685,1.5677456647398842,0.8535685038422198,63.20098265895954,16.855666898313665
Voltage Regulator IC,8.446346153846154,1.9484270203417973,0.5886538461538462,0.2247725345937361,61.94891025641026,18.232704312491133
Wire Wound Resistor,6.586604938271605,2.1121015302330357,0.7228395061728394,0.44344987061260766,56.37327160493827,16.88189205309145
