component,avg_power,stddev_power,min_power,max_power
Rheostat,13.512246510020747,9.845371046274963,0.2255,44.58
Inverter Module,13.19613305766139,9.814806324902117,0.2756,44.4318
Boost Converter,13.108895352915413,9.75761891193068,0.2574,44.04
Tantalum Capacitor,13.036547122302146,8.656813903774768,0.5364,39.6552
Potentiometer,13.009203508374826,9.68417429258427,0.229,43.4186
Trimmer,12.994479821627644,9.740328255494386,0.2412,44.4312
Buck Converter,12.948569909151308,9.692659176756997,0.2613,44.4906
Electrolytic Capacitor,12.913036773191287,8.56082252536548,0.4576,39.06
Ceramic Capacitor,12.867212319168178,8.585786763182996,0.5247,39.3328
IC555 Timer,5.097867817648384,2.3941974951346388,1.0521,11.85
OpAmp IC,5.08475250341375,2.3481749262666196,1.03,12.0
Microcontroller IC,5.069055299642212,2.332182346209834,1.008,11.7117
Voltage Regulator IC,5.0493952413324195,2.3525168151680123,1.012,11.82
Carbon Composition Resistor,4.961856855658474,3.305191127443151,0.0446,14.775
Metal Film Resistor,4.935427472283815,3.328599293411277,0.033,14.726
Thick Film Resistor,4.929119047619051,3.2897065139504296,0.0312,14.6914
Thin Film Resistor,4.907831318313631,3.3194061366294974,0.032,14.4892
Wire Wound Resistor,4.828368472128197,3.277423186253732,0.0325,14.8404
